Video name,Date recorded,Treatment,Screenshot order,Pre or post,Screenshot time,Quadrat,# Non-rheotactic,Total # fish,Proportion fish non-rheotactic,Observer
GOPR1691,8/1/15,SW Control,29,post,2:25,2,11,22,0.5,KO
GOPR1691,8/1/15,SW Control,30,post,2:30,1,21,61,0.344262295,KO
GOPR1691,8/1/15,SW Control,31,post,2:35,3,10,42,0.238095238,KO
GOPR1691,8/1/15,SW Control,32,post,2:40,3,16,34,0.470588235,KO
GOPR1691,8/1/15,SW Control,33,post,2:45,1,12,43,0.279069767,KO
GOPR1691,8/1/15,SW Control,34,post,2:50,1,21,58,0.362068966,KO
GOPR1691,8/1/15,SW Control,35,post,2:55,2,14,38,0.368421053,KO
GOPR1691,8/1/15,SW Control,36,post,3:00,1,19,72,0.263888889,KO
GOPR1691,8/1/15,SW Control,37,post,3:05,3,2,28,0.071428571,KO
GOPR1691,8/1/15,SW Control,38,post,3:10,4,5,40,0.125,KO
GOPR1691,8/1/15,SW Control,39,post,3:15,3,2,38,0.052631579,KO
GOPR1691,8/1/15,SW Control,40,post,3:20,1,18,59,0.305084746,KO
GOPR1691,8/1/15,SW Control,41,post,3:25,1,21,55,0.381818182,KO
GOPR1691,8/1/15,SW Control,42,post,3:30,2,21,36,0.583333333,KO
GOPR1691,8/1/15,SW Control,43,post,3:35,4,8,37,0.216216216,KO
GOPR1691,8/1/15,SW Control,44,post,3:40,1,14,51,0.274509804,KO
GOPR1691,8/1/15,SW Control,45,post,3:45,4,11,52,0.211538462,KO
GOPR1694,8/1/15,Krill odor (med),9,pre,0:45,3,4,43,0.093023256,KO
GOPR1694,8/1/15,Krill odor (med),10,pre,0:50,1,9,52,0.173076923,KO
GOPR1694,8/1/15,Krill odor (med),11,pre,0:55,4,3,40,0.075,KO
GOPR1694,8/1/15,Krill odor (med),12,pre,1:00,4,4,43,0.093023256,KO
GOPR1694,8/1/15,Krill odor (med),13,pre,1:05,1,10,55,0.181818182,KO
